filename,time,day
1,12:53:17,05-06-2025
2,12:53:21,05-06-2025
3,12:53:24,05-06-2025
4,13:08:34,05-06-2025
5,13:08:38,05-06-2025
6,13:08:41,05-06-2025
7,13:09:58,05-06-2025
8,13:10:41,05-06-2025
9,13:10:45,05-06-2025
10,13:10:48,05-06-2025
11,07:25:41,18-02-2026
12,07:26:37,18-02-2026
13,07:27:21,18-02-2026
14,07:27:31,18-02-2026
15,22:12:13,06-03-2026
16,22:12:18,06-03-2026
17,22:12:21,06-03-2026
18,22:24:09,06-03-2026
19,22:24:28,06-03-2026
20,22:24:31,06-03-2026
21,22:24:34,06-03-2026
22,18:44:34,20-03-2026
23,18:44:39,20-03-2026
24,18:44:41,20-03-2026
25,18:47:30,20-03-2026
26,18:48:32,20-03-2026
27,18:50:21,20-03-2026
28,18:53:02,20-03-2026
29,18:58:46,20-03-2026
30,19:02:22,20-03-2026
31,19:02:42,20-03-2026
32,19:04:37,20-03-2026
33,19:08:48,20-03-2026
34,19:13:59,20-03-2026
35,19:15:57,20-03-2026
36,19:18:52,20-03-2026
37,19:21:03,20-03-2026
38,19:21:50,20-03-2026
39,19:22:15,20-03-2026
40,19:22:24,20-03-2026
41,19:23:56,20-03-2026
42,19:28:02,20-03-2026
43,19:29:07,20-03-2026
44,19:29:50,20-03-2026
45,19:30:19,20-03-2026
46,19:31:42,20-03-2026
47,19:38:57,20-03-2026
48,19:39:30,20-03-2026
49,19:44:39,20-03-2026
50,19:45:28,20-03-2026
51,19:46:28,20-03-2026
52,19:47:36,20-03-2026
53,19:51:24,20-03-2026
54,19:52:00,20-03-2026
55,19:58:31,20-03-2026
56,20:05:17,20-03-2026
57,20:09:10,20-03-2026
58,20:33:32,20-03-2026
59,20:34:12,20-03-2026
60,20:35:09,20-03-2026
61,20:35:53,20-03-2026
62,20:36:31,20-03-2026
63,20:36:53,20-03-2026
64,20:37:19,20-03-2026
65,20:45:36,20-03-2026
66,20:47:17,20-03-2026
67,20:48:55,20-03-2026
68,20:56:40,20-03-2026
69,21:04:06,20-03-2026
70,21:07:39,20-03-2026
71,21:09:43,20-03-2026
72,21:15:45,20-03-2026
73,21:18:43,20-03-2026
74,21:19:03,20-03-2026
